tick,scenario,value
215,baseline,0.3014086031029634
216,baseline,0.27004586845417217
217,baseline,0.30188001277199633
218,baseline,0.28314396829136196
219,baseline,0.26768386871803646
220,baseline,0.26816368341211955
221,baseline,0.2766031380422683
222,baseline,0.25107091288952926
223,baseline,0.2535878221533679
224,baseline,0.2771429871017357
225,baseline,0.2721949013537164
226,baseline,0.26671897046620857
227,baseline,0.2646346935189065
228,baseline,0.26546402720582535
229,baseline,0.2834847154378622
230,baseline,0.2747032234649574
231,baseline,0.29520920917839205
232,baseline,0.2941123649012685
233,baseline,0.3256114931767586
234,baseline,0.3354170682997567
235,baseline,0.35748191629459714
236,baseline,0.36452913850217944
237,baseline,0.36792262912601187
238,baseline,0.39609309815540755
239,baseline,0.4003275194889667
240,baseline,0.40696269959209497
241,baseline,0.4292914743504044
242,baseline,0.4365753565386935
243,baseline,0.4480650149888616
244,baseline,0.457060155482481
245,baseline,0.47245578652753745
246,baseline,0.46607485052510955
247,baseline,0.48926806247423793
248,baseline,0.48405277011596615
249,baseline,0.47628751569189925
